0	20535.4
0.0333333	20433
0.0666667	20286
0.1	20119.8
0.133333	19976.2
0.166667	19821.4
0.2	19635
0.233333	19397
0.266667	19228.1
0.3	18972.6
0.333333	18706.6
0.366667	18476.5
0.4	18228.9
0.433333	17997.9
0.466667	17721.4
0.5	17482.5
0.533333	17244.5
0.566667	16975
0.6	16680.1
0.633333	16454.4
0.666667	16189.2
0.7	15953.9
0.733333	15687
0.766667	15456.9
0.8	15196.1
0.833333	14961.6
0.866667	14727.1
0.9	14485.6
0.933333	14262.5
0.966667	14012.2
1	13825.9
1.03333	13556.4
1.06667	13318.4
1.1	13074.2
1.13333	12836.2
1.16667	12646.4
1.2	12443.4
1.23333	12250.9
1.26667	12026
1.3	11821.2
1.33333	11626.1
1.36667	11438
1.4	11260.4
1.43333	11040.8
1.46667	10852.6
1.5	10676.8
1.53333	10473.8
1.56667	10304.9
1.6	10124.6
1.63333	9954.88
1.66667	9781.62
1.7	9612.75
1.73333	9470.12
1.76667	9294.25
1.8	9142
1.83333	9014.25
1.86667	8848
1.9	8691.38
1.93333	8519
1.96667	8373.75
2	8238.12
2.03333	8105.12
2.06667	7980
2.1	7843.5
2.13333	7714
2.16667	7583.62
2.2	7435.75
2.23333	7298.38
2.26667	7164.5
2.3	7047.25
2.33333	6929.12
2.36667	6824.12
2.4	6686.75
2.43333	6558.12
2.46667	6441.75
2.5	6325.38
2.53333	6222.12
2.56667	6125.88
2.6	6022.62
2.63333	5920.25
2.66667	5822.25
2.7	5713.75
2.73333	5612.25
2.76667	5515.12
2.8	5411.88
2.83333	5326.12
2.86667	5239.5
2.9	5156.38
2.93333	5063.62
2.96667	4968.25
3	4893
3.03333	4797.62
3.06667	4732.88
3.1	4649.75
3.13333	4578
3.16667	4505.38
3.2	4421.38
3.23333	4341.75
3.26667	4271.75
3.3	4209.62
3.33333	4138.75
3.36667	4068.75
3.4	4003.12
3.43333	3926.12
3.46667	3851.75
3.5	3794
3.53333	3725.75
3.56667	3644.38
3.6	3582.25
3.63333	3508.75
3.66667	3439.62
3.7	3374.88
3.73333	3310.12
3.76667	3259.38
3.8	3194.62
3.83333	3128.12
3.86667	3078.25
3.9	3024.88
3.93333	2968
3.96667	2913.75
4	2863.88
4.03333	2804.38
4.06667	2755.38
4.1	2691.5
4.13333	2647.75
4.16667	2601.38
4.2	2552.38
4.23333	2504.25
4.26667	2464.88
4.3	2427.25
4.33333	2387.88
4.36667	2349.38
4.4	2307.38
4.43333	2258.38
4.46667	2224.25
4.5	2187.5
4.53333	2148.12
4.56667	2109.62
4.6	2075.5
4.63333	2039.62
4.66667	2005.5
4.7	1970.5
4.73333	1931.12
4.76667	1903.12
4.8	1874.25
4.83333	1835.75
4.86667	1805.12
4.9	1764.88
4.93333	1733.38
4.96667	1693.12
5	1658.12
5.03333	1622.25
5.06667	1588.12
5.1	1590.75
5.13333	1645
5.16667	1717.62
5.2	1828.75
5.23333	1960
5.26667	2059.75
5.3	2177
5.33333	2352
5.36667	2522.62
5.4	2659.12
5.43333	2786.88
5.46667	2933
5.5	3112.38
5.53333	3269.88
5.56667	3433.5
5.6	3564.75
5.63333	3718.75
5.66667	3876.25
5.7	4047.75
5.73333	4193.88
5.76667	4359.25
5.8	4548.25
5.83333	4713.62
5.86667	4879.88
5.9	5042.62
5.93333	5249.12
5.96667	5402.25
6	5537.88
6.03333	5646.38
6.06667	5794.25
6.1	5936
6.13333	6133.75
6.16667	6278.12
6.2	6405.88
6.23333	6569.5
6.26667	6722.62
6.3	6888
6.33333	7068.25
6.36667	7157.5
6.4	7356.12
6.43333	7472.5
6.46667	7618.62
6.5	7810.25
6.53333	7944.12
6.56667	8098.12
6.6	8215.38
6.63333	8283.62
6.66667	8409.62
6.7	8507.62
6.73333	8593.38
6.76667	8720.25
6.8	8876.88
6.83333	8994.12
6.86667	9118.38
6.9	9177.88
6.93333	9275
6.96667	9363.38
7	9482.38
7.03333	9515.62
7.06667	9489.38
7.1	9737.88
7.13333	10230.5
7.16667	10721.4
7.2	11300.6
7.23333	11992.8
7.26667	12671.8
7.3	13452.2
7.33333	14168
7.36667	14965.1
7.4	15803.4
7.43333	16620.6
7.46667	17454.5
7.5	18442.4
7.53333	19320
7.56667	20208.1
7.6	21096.2
7.63333	22026.4
7.66667	22924.1
7.7	23815.8
7.73333	24682.9
7.76667	25564
7.8	26373.4
7.83333	27130.2
7.86667	27920.4
7.9	28880.2
7.93333	29769.2
7.96667	30504.2
8	31317.1
8.03333	31866.6
8.06667	32651.5
8.1	33582.5
8.13333	34575.6
8.16667	35474.2
8.2	36370.2
8.23333	37336.2
8.26667	38301.4
8.3	39211.4
8.33333	40069.8
8.36667	40828.4
8.4	41674.5
8.43333	42462.9
8.46667	43328.2
8.5	44163.9
8.53333	44962.8
8.56667	45727.5
8.6	46539.5
8.63333	47327.9
8.66667	48052.4
8.7	48720
8.73333	49420
8.76667	50082.4
8.8	50770.1
8.83333	51452.6
8.86667	52156.1
8.9	52979.5
8.93333	53615.6
8.96667	54345.4
9	55064.6
9.03333	55747.1
9.06667	56951.1
9.1	58257.5
9.13333	59125.5
9.16667	59671.5
9.2	60025.9
9.23333	60302.4
9.26667	60384.6
9.3	60321.6
9.33333	60249.9
9.36667	59968.1
9.4	59752
9.43333	59341.6
9.46667	58828.9
9.5	58367.8
9.53333	57898.8
9.56667	57323.9
9.6	56714.9
9.63333	56130.4
9.66667	55607.1
9.7	54915
9.73333	54225.5
9.76667	53564.9
9.8	52971.6
9.83333	52360.9
9.86667	51719.5
9.9	51065.9
